id,ra,nome,fase,ano,inde,pedra,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem
39,RA-39,Aluno-39,6,2022,6.033,Ágata,10.0,6.9,4.8,0.0,6.9,,6.111,0
40,RA-40,Aluno-40,5,2022,7.203,Ametista,5.0,6.8,7.8,7.9,7.5,,7.75,-1
41,RA-41,Aluno-41,5,2022,5.581,Quartzo,5.0,5.6,6.1,9.2,5.0,,4.375,-2
42,RA-42,Aluno-42,5,2022,6.72,Ágata,10.0,4.8,7.9,8.3,5.6,,6.083,0
43,RA-43,Aluno-43,5,2022,5.486,Quartzo,5.0,4.3,6.5,6.3,5.6,,5.958,-1
44,RA-44,Aluno-44,5,2022,5.542,Quartzo,5.0,3.0,5.9,5.0,7.5,,7.292,-2
45,RA-45,Aluno-45,5,2022,7.591,Ametista,10.0,6.8,8.9,7.9,5.6,,7.417,0
46,RA-46,Aluno-46,5,2022,6.048,Ágata,5.0,2.1,8.4,8.8,6.3,,7.083,-2
47,RA-47,Aluno-47,5,2022,5.677,Quartzo,5.0,2.1,6.3,7.9,7.5,,7.042,-2
48,RA-48,Aluno-48,5,2022,8.006,Ametista,10.0,8.1,8.4,6.7,7.5,,8.5,0
49,RA-49,Aluno-49,5,2022,6.304,Ágata,5.0,3.9,7.4,7.5,7.5,,7.042,-2
50,RA-50,Aluno-50,5,2022,7.138,Ametista,2.5,7.8,8.4,7.5,7.5,,7.542,-3
51,RA-51,Aluno-51,5,2022,6.488,Ágata,5.0,5.0,7.6,8.8,7.5,,6.5,-2
52,RA-52,Aluno-52,5,2022,7.861,Ametista,10.0,6.2,8.9,9.6,7.5,,7.5,2
53,RA-53,Aluno-53,5,2022,6.725,Ágata,5.0,7.0,7.0,9.2,7.5,,6.458,-2
54,RA-54,Aluno-54,5,2022,6.058,Ágata,5.0,4.8,6.9,7.9,7.5,,6.125,-1
55,RA-55,Aluno-55,5,2022,6.576,Ágata,5.0,7.5,7.6,7.1,5.6,,6.5,-1
56,RA-56,Aluno-56,5,2022,8.404,Topázio,10.0,7.0,10.0,10.0,7.5,,8.25,0
57,RA-57,Aluno-57,5,2022,7.305,Ametista,5.0,8.4,8.1,7.1,5.6,,7.875,-1
58,RA-58,Aluno-58,5,2022,8.136,Topázio,10.0,7.2,9.2,9.6,6.3,,8.125,0
59,RA-59,Aluno-59,5,2022,7.642,Ametista,5.0,7.2,9.3,9.2,7.5,,7.917,-2
60,RA-60,Aluno-60,5,2022,5.537,Quartzo,2.5,4.9,6.0,6.7,7.5,,6.167,-3
61,RA-61,Aluno-61,5,2022,7.533,Ametista,10.0,5.8,7.4,9.2,7.5,,7.875,0
62,RA-62,Aluno-62,5,2022,7.891,Ametista,5.0,9.3,9.4,8.8,7.5,,7.25,-2
63,RA-63,Aluno-63,5,2022,8.282,Topázio,5.0,8.7,9.1,8.3,8.8,,9.417,-1
64,RA-64,Aluno-64,5,2022,7.368,Ametista,5.0,7.5,8.1,7.1,8.1,,8.25,-1
65,RA-65,Aluno-65,5,2022,7.712,Ametista,5.0,9.3,7.7,8.3,7.5,,7.875,-2
66,RA-66,Aluno-66,5,2022,5.665,Quartzo,5.0,4.5,5.6,7.5,7.5,,5.917,-2
67,RA-67,Aluno-67,5,2022,5.195,Quartzo,5.0,3.6,3.0,5.8,7.5,,6.889,-1
68,RA-68,Aluno-68,5,2022,6.438,Ágata,5.0,4.0,6.0,8.3,7.5,,7.944,-1
69,RA-69,Aluno-69,5,2022,5.718,Quartzo,5.0,2.5,6.1,8.3,7.5,,6.167,-1
70,RA-70,Aluno-70,5,2022,5.712,Quartzo,5.0,2.9,6.6,8.8,5.0,,6.111,-1
71,RA-71,Aluno-71,5,2022,4.332,Quartzo,5.0,1.2,2.0,7.9,7.5,,5.833,-2
72,RA-72,Aluno-72,5,2022,7.64,Ametista,5.0,7.8,7.5,8.3,7.5,,8.667,-2
73,RA-73,Aluno-73,5,2022,5.271,Quartzo,5.0,3.3,3.0,7.1,7.5,,7.278,-2
74,RA-74,Aluno-74,5,2022,4.989,Quartzo,5.0,2.0,3.3,9.6,7.5,,5.833,-1
75,RA-75,Aluno-75,5,2022,3.915,Quartzo,5.0,0.0,3.8,5.4,6.3,,4.625,-1
76,RA-76,Aluno-76,5,2022,9.105,Topázio,10.0,8.7,9.1,10.0,8.1,,9.292,0
77,RA-77,Aluno-77,5,2022,3.846,Quartzo,5.0,0.7,2.7,7.1,5.0,,4.625,-1
78,RA-78,Aluno-78,5,2022,7.04,Ametista,5.0,7.2,6.6,8.3,5.6,,8.0,-2
79,RA-79,Aluno-79,5,2022,6.847,Ágata,5.0,8.9,6.3,5.4,5.6,,7.292,-1
80,RA-80,Aluno-80,5,2022,7.29,Ametista,5.0,7.1,8.3,9.2,5.0,,7.625,-1
81,RA-81,Aluno-81,5,2022,7.675,Ametista,10.0,6.0,9.2,9.2,5.0,,7.458,1
82,RA-82,Aluno-82,5,2022,6.596,Ágata,5.0,5.5,6.8,8.8,7.5,,6.417,-2
83,RA-83,Aluno-83,5,2022,6.671,Ágata,5.0,6.8,6.8,7.9,7.5,,5.958,-2
84,RA-84,Aluno-84,5,2022,6.682,Ágata,5.0,5.8,8.8,7.1,5.0,,6.75,-2
85,RA-85,Aluno-85,5,2022,6.243,Ágata,10.0,4.3,7.3,6.7,5.0,,5.833,0
86,RA-86,Aluno-86,5,2022,7.566,Ametista,5.0,6.7,9.6,7.5,5.6,,8.458,-1
87,RA-87,Aluno-87,5,2022,8.712,Topázio,10.0,8.8,9.6,8.3,7.5,,8.5,0
88,RA-88,Aluno-88,5,2022,7.498,Ametista,5.0,6.5,9.2,7.1,5.6,,9.208,-2
89,RA-89,Aluno-89,5,2022,7.323,Ametista,5.0,5.9,7.8,9.6,7.5,,8.0,-1
90,RA-90,Aluno-90,5,2022,9.442,Topázio,10.0,8.5,9.7,10.0,9.4,,9.75,2
91,RA-91,Aluno-91,5,2022,6.645,Ágata,5.0,6.6,5.7,9.2,5.6,,7.125,-1
92,RA-92,Aluno-92,5,2022,6.957,Ágata,5.0,7.4,7.1,9.2,5.0,,6.667,-1
93,RA-93,Aluno-93,5,2022,8.941,Topázio,10.0,8.5,9.7,8.3,8.1,,9.083,0
94,RA-94,Aluno-94,5,2022,8.921,Topázio,10.0,7.7,9.6,8.3,8.1,,9.583,0
95,RA-95,Aluno-95,5,2022,6.308,Ágata,5.0,4.8,6.6,8.3,7.5,,6.292,-2
96,RA-96,Aluno-96,5,2022,7.54,Ametista,5.0,6.7,7.8,9.2,6.9,,8.5,-1
97,RA-97,Aluno-97,5,2022,7.468,Ametista,10.0,6.9,8.8,7.5,5.0,,6.292,0
98,RA-98,Aluno-98,5,2022,9.354,Topázio,10.0,8.5,10.0,8.8,9.4,,9.667,0
99,RA-99,Aluno-99,5,2022,6.158,Ágata,5.0,5.0,6.3,8.8,7.5,,5.833,-1
100,RA-100,Aluno-100,4,2022,7.618,Ametista,10.0,7.6,7.8,8.8,5.0,,7.25,1
101,RA-101,Aluno-101,4,2022,7.305,Ametista,5.0,7.6,8.3,7.9,7.5,,6.833,-1
102,RA-102,Aluno-102,4,2022,6.922,Ágata,10.0,5.7,7.7,6.7,6.9,,6.0,0
103,RA-103,Aluno-103,4,2022,8.107,Topázio,10.0,7.3,8.7,7.9,7.5,,7.708,1
104,RA-104,Aluno-104,4,2022,6.315,Ágata,2.5,3.7,8.7,7.9,7.5,,6.708,-4
105,RA-105,Aluno-105,4,2022,6.846,Ágata,2.5,6.7,8.2,7.9,5.6,,7.417,-3
106,RA-106,Aluno-106,4,2022,7.973,Ametista,5.0,7.4,8.0,9.2,9.4,,8.375,-1
107,RA-107,Aluno-107,4,2022,6.258,Ágata,5.0,4.6,6.4,7.5,7.5,,6.5,-1
108,RA-108,Aluno-108,4,2022,5.547,Quartzo,2.5,5.0,7.7,4.6,5.0,,6.125,-3
109,RA-109,Aluno-109,4,2022,8.512,Topázio,5.0,8.4,10.0,8.8,8.8,,8.667,-2
110,RA-110,Aluno-110,4,2022,8.15,Topázio,10.0,6.7,9.7,9.2,5.6,,8.0,0
111,RA-111,Aluno-111,4,2022,8.646,Topázio,10.0,8.0,9.4,7.5,8.1,,8.667,1
112,RA-112,Aluno-112,4,2022,7.836,Ametista,5.0,8.5,7.8,7.9,6.3,,8.833,-1
113,RA-113,Aluno-113,4,2022,3.032,Quartzo,5.0,3.7,0.0,0.0,5.0,,3.792,-1
114,RA-114,Aluno-114,4,2022,5.894,Quartzo,5.0,5.3,6.3,7.9,7.5,,5.0,-2
115,RA-115,Aluno-115,4,2022,5.886,Quartzo,5.0,3.8,6.8,8.3,6.3,,5.583,-2
116,RA-116,Aluno-116,4,2022,6.854,Ágata,5.0,5.9,8.1,5.8,6.3,,7.792,-2
117,RA-117,Aluno-117,4,2022,6.685,Ágata,5.0,6.1,6.3,7.9,6.9,,7.417,-1
118,RA-118,Aluno-118,4,2022,5.597,Quartzo,10.0,3.9,5.3,0.0,6.3,,6.958,0
119,RA-119,Aluno-119,4,2022,7.501,Ametista,10.0,5.4,8.2,8.3,5.6,,7.875,0
120,RA-120,Aluno-120,4,2022,6.825,Ágata,5.0,6.2,5.9,8.3,7.5,,7.667,-1
121,RA-121,Aluno-121,4,2022,7.245,Ametista,5.0,7.2,8.4,7.1,6.3,,7.625,-2
122,RA-122,Aluno-122,4,2022,5.061,Quartzo,10.0,1.8,3.4,7.9,7.5,,4.958,0
123,RA-123,Aluno-123,4,2022,7.084,Ametista,5.0,6.5,8.6,7.9,5.6,,7.292,-2
124,RA-124,Aluno-124,4,2022,7.388,Ametista,10.0,6.7,7.8,7.9,5.0,,7.167,0
125,RA-125,Aluno-125,4,2022,7.619,Ametista,5.0,7.1,8.5,8.8,7.5,,7.75,-1
126,RA-126,Aluno-126,4,2022,6.289,Ágata,5.0,4.4,5.8,7.1,7.5,,7.417,-1
127,RA-127,Aluno-127,4,2022,8.283,Topázio,10.0,7.9,8.7,7.5,7.5,,8.125,0
128,RA-128,Aluno-128,4,2022,5.563,Quartzo,5.0,5.6,6.2,0.0,7.5,,6.167,-1
129,RA-129,Aluno-129,4,2022,6.926,Ágata,5.0,6.7,6.4,6.7,7.5,,7.792,-1
130,RA-130,Aluno-130,4,2022,5.624,Quartzo,5.0,4.1,4.7,8.3,5.0,,6.5,-2
131,RA-131,Aluno-131,4,2022,7.174,Ametista,5.0,5.6,9.0,8.8,5.6,,7.75,-1
132,RA-132,Aluno-132,4,2022,8.355,Topázio,10.0,7.7,8.8,10.0,5.6,,8.458,0
133,RA-133,Aluno-133,4,2022,6.875,Ágata,5.0,5.6,7.1,7.9,7.5,,7.625,-1
134,RA-134,Aluno-134,4,2022,6.607,Ágata,5.0,4.7,6.8,8.8,7.5,,7.375,-1
135,RA-135,Aluno-135,4,2022,7.692,Ametista,5.0,8.6,7.8,8.3,5.6,,8.583,-1
136,RA-136,Aluno-136,4,2022,6.478,Ágata,5.0,4.6,6.3,10.0,7.5,,6.667,-1
137,RA-137,Aluno-137,4,2022,7.056,Ametista,2.5,7.3,8.9,7.5,5.0,,7.792,-3
138,RA-138,Aluno-138,4,2022,6.738,Ágata,5.0,5.6,8.0,9.6,5.6,,6.375,-1
139,RA-139,Aluno-139,4,2022,3.738,Quartzo,2.5,1.4,3.5,7.1,5.0,,3.917,-3
140,RA-140,Aluno-140,4,2022,7.407,Ametista,10.0,5.7,7.6,7.9,6.9,,7.667,0
141,RA-141,Aluno-141,4,2022,7.118,Ametista,10.0,5.7,8.2,9.2,5.6,,5.917,0
142,RA-142,Aluno-142,4,2022,7.457,Ametista,10.0,6.3,8.6,6.7,5.6,,7.583,0
143,RA-143,Aluno-143,4,2022,8.638,Topázio,10.0,7.9,9.9,8.3,5.6,,9.5,1
144,RA-144,Aluno-144,4,2022,8.181,Topázio,10.0,7.9,9.3,7.5,5.0,,8.292,0
145,RA-145,Aluno-145,4,2022,5.846,Quartzo,5.0,5.2,6.3,0.0,8.1,,7.25,-2
146,RA-146,Aluno-146,4,2022,7.947,Ametista,5.0,7.9,9.2,8.3,7.5,,8.208,-1
147,RA-147,Aluno-147,4,2022,7.541,Ametista,10.0,6.1,7.7,8.3,7.5,,7.25,0
148,RA-148,Aluno-148,4,2022,7.894,Ametista,10.0,5.3,7.9,9.2,10.0,,7.708,0
149,RA-149,Aluno-149,4,2022,6.323,Ágata,5.0,5.0,6.5,9.2,7.5,,6.125,-1
150,RA-150,Aluno-150,4,2022,6.962,Ágata,5.0,6.9,6.3,9.6,6.9,,7.333,-2
151,RA-151,Aluno-151,4,2022,7.563,Ametista,5.0,8.3,7.5,8.8,6.9,,7.958,-2
152,RA-152,Aluno-152,4,2022,6.712,Ágata,5.0,6.5,7.0,8.3,7.5,,6.292,-2
153,RA-153,Aluno-153,4,2022,7.535,Ametista,10.0,6.6,8.2,7.9,5.0,,7.708,0
154,RA-154,Aluno-154,4,2022,6.073,Ágata,5.0,4.0,6.1,8.3,6.3,,6.833,-1
155,RA-155,Aluno-155,4,2022,7.051,Ametista,5.0,5.2,8.3,10.0,7.5,,6.833,-2
156,RA-156,Aluno-156,4,2022,7.357,Ametista,5.0,4.4,8.3,10.0,9.4,,7.792,-1
157,RA-157,Aluno-157,4,2022,8.317,Topázio,10.0,7.7,10.0,7.5,6.3,,8.292,1
158,RA-158,Aluno-158,4,2022,7.302,Ametista,2.5,6.6,9.8,7.9,5.6,,8.125,-3
159,RA-159,Aluno-159,4,2022,6.49,Ágata,5.0,4.7,8.1,8.3,5.6,,6.458,-1
160,RA-160,Aluno-160,4,2022,6.746,Ágata,5.0,5.3,7.2,7.5,5.6,,8.25,-1
161,RA-161,Aluno-161,4,2022,7.957,Ametista,10.0,6.9,9.1,7.9,5.6,,8.083,2
162,RA-162,Aluno-162,4,2022,7.215,Ametista,10.0,5.5,8.5,6.7,7.5,,6.542,0
163,RA-163,Aluno-163,4,2022,6.797,Ágata,5.0,6.7,7.9,8.8,5.6,,6.5,-1
164,RA-164,Aluno-164,4,2022,6.776,Ágata,5.0,6.5,7.3,8.3,5.6,,7.208,-2
165,RA-165,Aluno-165,4,2022,8.063,Topázio,10.0,7.6,9.8,7.1,5.6,,7.5,0
166,RA-166,Aluno-166,4,2022,8.253,Topázio,10.0,8.1,9.0,9.2,6.3,,7.542,0
167,RA-167,Aluno-167,4,2022,7.798,Ametista,5.0,7.9,9.7,9.2,5.6,,7.833,-2
168,RA-168,Aluno-168,4,2022,6.917,Ágata,5.0,5.9,8.3,7.9,6.3,,7.083,-1
169,RA-169,Aluno-169,4,2022,5.159,Quartzo,5.0,3.2,5.1,7.5,6.3,,4.792,-1
170,RA-170,Aluno-170,4,2022,7.007,Ágata,10.0,4.9,9.2,8.3,5.6,,5.792,0
171,RA-171,Aluno-171,4,2022,6.581,Ágata,5.0,5.5,6.8,7.5,7.5,,6.875,-2
172,RA-172,Aluno-172,4,2022,8.673,Topázio,10.0,7.3,8.9,9.2,9.4,,8.917,0
173,RA-173,Aluno-173,4,2022,7.816,Ametista,2.5,7.9,9.2,8.3,6.9,,9.25,-3
174,RA-174,Aluno-174,4,2022,6.075,Ágata,5.0,4.4,6.2,7.9,7.5,,6.042,-1
175,RA-175,Aluno-175,4,2022,6.75,Ágata,5.0,5.9,9.2,8.3,5.6,,5.833,-1
176,RA-176,Aluno-176,3,2022,8.427,Topázio,10.0,6.9,9.1,9.6,5.6,,9.083,0
177,RA-177,Aluno-177,3,2022,7.424,Ametista,10.0,6.8,8.8,7.9,4.4,,6.958,0
178,RA-178,Aluno-178,3,2022,7.025,Ágata,10.0,6.3,8.8,0.0,4.4,,8.458,0
179,RA-179,Aluno-179,3,2022,7.993,Ametista,10.0,6.1,9.2,7.5,7.5,,8.042,0
180,RA-180,Aluno-180,3,2022,8.442,Topázio,10.0,8.1,8.3,9.2,6.3,,8.625,0
181,RA-181,Aluno-181,3,2022,8.623,Topázio,10.0,6.8,9.5,9.2,8.8,,8.458,0
182,RA-182,Aluno-182,3,2022,6.328,Ágata,2.5,4.1,8.0,7.5,7.5,,6.958,-3
183,RA-183,Aluno-183,3,2022,7.3,Ametista,10.0,3.8,8.8,8.3,7.5,,7.25,0
184,RA-184,Aluno-184,3,2022,7.28,Ametista,2.5,7.2,7.7,8.8,7.5,,8.0,-3
185,RA-185,Aluno-185,3,2022,6.615,Ágata,5.0,4.5,7.7,7.9,7.5,,6.875,-2
186,RA-186,Aluno-186,3,2022,7.832,Ametista,10.0,6.6,8.5,8.3,7.5,,7.5,0
187,RA-187,Aluno-187,3,2022,7.928,Ametista,10.0,5.8,8.9,8.8,7.5,,7.917,0
188,RA-188,Aluno-188,3,2022,5.307,Quartzo,5.0,2.7,6.1,0.0,7.5,,7.583,-1
189,RA-189,Aluno-189,3,2022,7.629,Ametista,5.0,7.2,9.7,10.0,5.0,,7.333,-1
190,RA-190,Aluno-190,3,2022,7.335,Ametista,10.0,6.3,6.9,6.7,8.8,,7.25,0
191,RA-191,Aluno-191,3,2022,8.74,Topázio,10.0,7.2,9.4,10.0,8.8,,8.5,0
192,RA-192,Aluno-192,3,2022,4.932,Quartzo,5.0,2.7,3.6,8.8,7.5,,4.708,-2
193,RA-193,Aluno-193,3,2022,8.155,Topázio,10.0,6.7,8.9,9.2,5.6,,8.5,0
194,RA-194,Aluno-194,3,2022,4.265,Quartzo,5.0,3.2,6.2,0.0,5.0,,3.75,-1
195,RA-195,Aluno-195,3,2022,8.017,Ametista,10.0,6.3,9.2,8.8,5.0,,8.25,0
196,RA-196,Aluno-196,3,2022,8.124,Topázio,10.0,5.1,9.1,9.2,7.5,,8.625,0
197,RA-197,Aluno-197,3,2022,8.218,Topázio,10.0,7.3,9.7,8.8,4.4,,8.292,0
198,RA-198,Aluno-198,3,2022,5.554,Quartzo,10.0,4.6,6.2,0.0,5.0,,5.958,0
199,RA-199,Aluno-199,3,2022,7.564,Ametista,10.0,7.5,7.1,8.3,7.5,,6.458,0
200,RA-200,Aluno-200,3,2022,5.705,Quartzo,5.0,5.5,5.6,7.9,4.4,,4.917,-2
201,RA-201,Aluno-201,3,2022,7.078,Ametista,5.0,6.5,7.3,7.9,7.5,,7.542,-2
202,RA-202,Aluno-202,3,2022,5.201,Quartzo,5.0,5.4,5.2,0.0,4.4,,6.917,-1
203,RA-203,Aluno-203,3,2022,5.669,Quartzo,5.0,2.8,4.3,8.8,7.5,,6.875,-1
204,RA-204,Aluno-204,3,2022,6.943,Ágata,10.0,7.4,6.7,7.9,4.4,,5.708,0
205,RA-205,Aluno-205,3,2022,5.372,Quartzo,5.0,4.1,3.8,9.6,7.5,,4.833,-1
206,RA-206,Aluno-206,3,2022,7.101,Ametista,10.0,5.0,8.8,8.3,7.5,,5.167,0
207,RA-207,Aluno-207,3,2022,4.936,Quartzo,2.5,5.8,4.8,0.0,7.5,,5.708,-3
208,RA-208,Aluno-208,3,2022,6.667,Ágata,5.0,6.1,7.1,7.5,7.5,,6.417,-1
209,RA-209,Aluno-209,3,2022,4.499,Quartzo,5.0,6.0,4.8,0.0,5.6,,3.75,-1
210,RA-210,Aluno-210,3,2022,4.44,Quartzo,5.0,3.4,5.1,0.0,7.5,,4.417,-1
211,RA-211,Aluno-211,3,2022,8.465,Topázio,10.0,7.6,8.8,9.2,7.5,,8.458,0
212,RA-212,Aluno-212,3,2022,7.268,Ametista,5.0,6.2,8.4,9.6,7.5,,6.958,-1
213,RA-213,Aluno-213,3,2022,7.209,Ametista,10.0,3.5,8.7,9.6,7.5,,6.833,0
214,RA-214,Aluno-214,3,2022,4.87,Quartzo,5.0,4.3,6.1,0.0,7.5,,5.125,-2
215,RA-215,Aluno-215,3,2022,7.172,Ametista,10.0,7.8,5.8,6.7,7.5,,6.542,0
216,RA-216,Aluno-216,3,2022,7.502,Ametista,10.0,7.0,8.5,7.9,7.5,,5.583,0
217,RA-217,Aluno-217,3,2022,7.397,Ametista,5.0,7.1,8.5,7.9,7.5,,7.292,-2
218,RA-218,Aluno-218,3,2022,6.1,Ágata,5.0,4.0,7.3,6.3,7.5,,6.125,-1
219,RA-219,Aluno-219,3,2022,5.942,Quartzo,2.5,3.5,6.9,8.8,7.5,,6.375,-3
220,RA-220,Aluno-220,3,2022,7.028,Ágata,10.0,6.5,8.1,0.0,7.5,,7.833,0
221,RA-221,Aluno-221,3,2022,6.892,Ágata,5.0,5.2,8.5,9.6,7.5,,6.0,-1
222,RA-222,Aluno-222,3,2022,5.604,Quartzo,5.0,6.2,4.6,7.1,7.5,,4.917,-2
223,RA-223,Aluno-223,3,2022,4.966,Quartzo,10.0,3.1,4.6,0.0,7.5,,5.583,0
224,RA-224,Aluno-224,3,2022,5.671,Quartzo,10.0,2.6,4.3,9.6,7.5,,4.875,0
225,RA-225,Aluno-225,3,2022,5.918,Quartzo,5.0,5.0,5.3,8.3,7.5,,5.708,-1
226,RA-226,Aluno-226,3,2022,6.549,Ágata,5.0,6.8,6.1,7.5,7.5,,6.208,-1
227,RA-227,Aluno-227,3,2022,6.471,Ágata,10.0,3.3,6.4,9.2,7.5,,5.833,0
228,RA-228,Aluno-228,3,2022,6.196,Ágata,5.0,4.8,6.7,7.5,7.5,,6.417,-2
229,RA-229,Aluno-229,3,2022,8.62,Topázio,10.0,6.9,9.4,10.0,7.5,,8.5,0
230,RA-230,Aluno-230,3,2022,6.328,Ágata,5.0,5.7,5.1,7.9,7.5,,6.75,-1
231,RA-231,Aluno-231,3,2022,6.116,Ágata,5.0,3.8,7.4,8.8,7.5,,5.333,-1
232,RA-232,Aluno-232,3,2022,4.245,Quartzo,10.0,0.0,4.9,0.0,7.5,,4.542,0
233,RA-233,Aluno-233,3,2022,6.051,Ágata,5.0,3.8,7.4,7.9,7.5,,5.5,-1
234,RA-234,Aluno-234,3,2022,6.719,Ágata,10.0,4.3,7.6,10.0,5.6,,5.583,0
235,RA-235,Aluno-235,3,2022,6.79,Ágata,5.0,6.3,7.3,8.3,7.5,,6.417,-1
236,RA-236,Aluno-236,3,2022,7.11,Ametista,10.0,3.7,7.5,9.6,7.5,,7.208,0
237,RA-237,Aluno-237,3,2022,8.084,Topázio,5.0,7.8,9.0,10.0,7.5,,8.417,-1
238,RA-238,Aluno-238,3,2022,6.331,Ágata,5.0,5.1,6.4,8.8,5.0,,7.208,-1
239,RA-239,Aluno-239,3,2022,4.572,Quartzo,5.0,3.7,3.7,0.0,7.5,,5.958,-2
240,RA-240,Aluno-240,3,2022,6.943,Ágata,10.0,4.7,8.1,7.1,5.0,,7.042,0
241,RA-241,Aluno-241,3,2022,8.468,Topázio,5.0,7.7,10.0,10.0,7.5,,9.125,-1
242,RA-242,Aluno-242,3,2022,8.673,Topázio,10.0,8.2,9.7,9.6,5.6,,8.708,0
243,RA-243,Aluno-243,3,2022,6.982,Ágata,5.0,6.0,8.7,7.1,5.0,,7.875,-2
244,RA-244,Aluno-244,3,2022,8.51,Topázio,10.0,7.8,9.4,7.5,6.3,,9.208,0
245,RA-245,Aluno-245,3,2022,8.656,Topázio,5.0,8.4,9.9,10.0,7.5,,9.25,-1
246,RA-246,Aluno-246,3,2022,8.639,Topázio,10.0,7.6,9.4,8.3,7.5,,9.167,0
247,RA-247,Aluno-247,3,2022,7.72,Ametista,10.0,5.8,8.2,8.3,7.5,,7.875,0
248,RA-248,Aluno-248,3,2022,7.429,Ametista,10.0,5.2,7.6,9.2,7.5,,7.292,0
